jobtitle,skills
Pre-sales Network Architect,"CCIE certification, hands-on background with network technologies at an architect level, client facing / sales engineer experience."
Big Data Engineer,"Big Data, Cassandra, Kafka, Hadoop, Hbase, Cassandra, Kafka, Big Data"
PeopleSoft FSCM Technical Consultant (Purchase),PeopleSoft FSCM Technical Consultant (Purchase)
"Sys Eng, Database Security (Oracle/SQL DBA)","Oracle, MS SQL, Security"
Release/DevOps Engineer,"Release Engineer, DevOps Engineer; SDK, Video, Build, Release, AWS"
Sr. Network Engineer with QoS,"Network Engineer,QoS,nexus"
Network Specialist/ Engineer All New!,"Strong understanding of TCP/IP and the ability to install LAN's and WAN's needed.Any experience with 11 ABG, Wireless Mesh, Access Points, Point to Point wireless systems, Multiplexing helpful."
Network Solution Specialist,B.S. in Computer Science. 10 year experience in technology industry with focus in networking products.
Oracle Apps Developer - With CRM exp,Need someone with hands-on PL/SQL Development in any Oracle Apps Functional area.
C#/ASP.NET MVC Developer,"Must have strong system design and development skills in financial applications with solid Microsoft .Net skills. Strong experience with ASP.NET, MVC, ASPX/Razor, JQuery, JSON, HTML, CSS , AJAX and RE"
Marketing Consultant,Marketing experience
QA Engineer,selenium; cucumber; Ruby; ATDD; Agile; Gherkin; CI/CD
Java Developer,Java Developer
Application Support Analyst,Please refer to Job Description
Network Engineer / Consultant,"Network Architect with IT Operations exp (Network, Security Operations, performance monitoring, LAN/WAN, Proxy Servers, Network Tuning, Visio for Network Diagramming, Network Hardware Configuration"
Business Development Manager,"Business development, Excellent interpersonal communication skills, comfort level with software and technology terminology or willingness to learn. Previous Service Sales Experience."
Oracle Developer - Financial Systems / Chicago,"Oracle 12c PL/SQL, batch process, system integration, Financial systems"
Data Analyst,"Hive, Pig, MapR"
Sr. .Net/Sitecore Developer,"Sitecore, ASP.NET, C# orVB.NE"
Security Engineer,"Proxy, Security, Network, encryption, tokenization, cryptography"
Senior System Engineer (InfoSec) (HBSS),HBSS
Devops Enginee with AWS,puppet cloud scripting - F2F Needed
C/C++ Developer,"7+ years of C/C++ programming, experience with network socket programming as well as SSL."
Jr. .NET Developer (Dev Support role),".NET, C#, ASP.NET"
QA Tester with JAVA Linux (w2 only),"QA, Java, Linux, FIX"
Helpdesk - Level III,"Helpdesk, Remedy IT Service Management (BMC ITSM( is a plus"
Software Engineer Sr,"At least 5 years software development experience, Strong Java web skills, Strong relational database experience/skills, Openness to Agile/Lean development methodology required"
Website/Kiosk Concierge -112178,Must be able to sell th kp.org website to members who are Spanish/English bi-lingual and not technology savy. Must be able to convince them to sign up on the website.
"Project Management and Planning Director, Information Technology","PMI/PMP, Agile Scrum Master, Management Experience"
Software Engineer Sr,"At least 5 years software development experience, Strong Java web skills, Strong relational database experience/skills, Openness to Agile/Lean development methodology required"
FULL TIME REKS,"1.MicroStrategy Sr Developer, 2.Technical Engineer - vRealize Automation,3.Informatica Developer ,4.Java Developer, 5.Mid Level Engineer"
Capital Equipment Field Sales Manager(Exp in Defense /Aerospace),"Defense /Aerospace, Capital Equipment,"
Desktop Support Specialist,"hardware, software, active directory, hardware, software, upgrades, windows 7"
Quality Manager,"5+ yrs, 2+ Quality Managmement. ISO 13485, and ISO 9001."
Enterprise Application Developer,"SQL, Visual Studio Online, Web API, Azure, C#, MVVM"
Senior Applications Programmer,C#/ASP.NET/File Net IBM/.Net
Software Engineer C# .Net,"full project life cycle development from design to release, lead software projects, architect solutions, review technical documentation/ code, code high performing applications etc."
Web Content Specialist,#NAME?
JAVA Architect,"JAVA, Architecture, JEE, Weblogic"
Software QA Analyst,"2-4 years of experience in manual software testing Must Haves: Technical person with hands-on experience, Independent self-learner Experience with testing payment / embedded systems- a big plus Experi"
Senior Technical Writer_vm(9),"""Technical Writer"" ""Network"" ""Infra"" ""Networks"""
Data Integration Specialist,"data, ERP, Dynamics, Great Plains, SQL, Access, ETL, information systems, integration, data mapping, MDM"
COMPENSATION AND BENEFITS DIRECTOR / SENIOR DIRECTOR,"BSBA/BSHRM req; MBA or MHRM a plus,15+ yrs exp at the Corporate level in Compensation; Executive Compensation; Manufacturing Industry experience essential; CCP and/or CEBS designation a plus."
SAP Business Objects Consultant-valencia CA,"SAP, BO, SCM, SQL"
Senior Product Manager,Product Manager/NPI/NPD
Sr. .Net/Sitecore Developer,"Sitecore, ASP.NET, C# orVB.NE"
Project Coordinator,"executive assistant, project coordinator"
SAP Basis Admin/Architect,"SAP Basis, Linux OS, IP network/switch knowledge"
MS Dynamics CRM Lead,"CRM, Project implementation"
SAP Plant Maintenance,sap plant maintenance
Systems Engineer,Our ideal candidate would have substantial hands-on network support experience in at least one major networked Windows server computing environment preferred. A four-year college degree or equivalent experience preferred.
Lead Java Developer,Financial services knowledge with CDS and Derivatives desired. Front end development with Swing or Spring helpful
"""salesforce Developer""",Salesforce.com (Apex and Visual force)
SQL Database Manager,"sql server, database management, olap cubes, ssas, ssis, ssrs, high availability, disaster recovery"
Project Manager,"Project Management,software development methodology, standards, project management, and continuous improvement,Oracle 11G, PL/SQL, Oracle Forms 11g, J2EE,WMS, OMS, E commerce experience,Web Methods, T"
Network Engineer/ Architect,ASR9K
ORACLE DBA,"ORACLE DBA Must be solid with Shell, Perl, and/or Python,Work on Oracle versions 11g/12c, Golden Gate, Cassandra, Exadata, MySQL"
Puppet DevOps Engineer,"Puppet, DevOps, Infrastructure, Build, Configuration, Automotive, Bash, Configuration Management, Development, Disaster Recovery, DNS, GIT, HTTP, IIS, Linux, Management, MySQL, mysql, Oracle, PowerShe"
Enterprise Architect,"BA / BS in appl env; Indepth Appl Arch, TOGAF, DoDAF, netwk and adv techn, & techn domains"
SQL Developer/Data Migration Specialist - Long term contract!,"SQL queries, stored procedures, triggers, migration, requirements"
Sr. Devops Engineer,"devops, engineer, automate, develop, scripting"
Senior Systems Engineer,"Systems Engineer, Windows Server, Vmware, SAN, EMC, VNX, CX4, Exchange, Active Directory, Omnicenter, Foglight, Novell, SuSE, Linux"
Web Application Developer,"C#/ASP.NET, Full Stack"
Java Developer-CompTIA Security + certification required,java j2ee Oracle ADF soa java bean development oracle bpel pl/sql ant business intelligence BIP toad stig unix remote telecommute security +
Looking for Cloud Architect,"Cloud, AWS, Identity Access Management, Azure"
Sr Unix Systems Engineer,"UNIX, Linux, Bash, Perl, VMware, open source tools, manifest writing, automation skills, scripting, monitoring software, openstack"
Mortgage Processor,Mortgage Processing
Microsoft Support Engineer - Office 365,"Microsoft, Exchange, On-Premise, Office 365"
Sr. DevOps Engineer (Windows) / Locals,"Windows system administration, Windows PowerShell, Websphere 6.1 and later versions, WebLogic, IIS, SS"
Scrum Master- Delivery Manager,"agile, scrum master, project manager, delivery manager, reporting, budgeting, relationship management, technology, scrum methodology, project planning,"
SQL Server Database Administrator - No Third Party,"SQL Server 2012/2014 Database Administrator (DBA), SSRS, SSIS, SSAS, Azure"
Engagement Director,"Bachelors, Project Management, SAP"
SSAS MDX Expert,"SSAS Expert, MDX expertise, Cube"
Product Support Data analyst,"Siebel CTMS, PeopleSoft, ETL, OSB, OBIEE, spotfire,product support,Data Analyst"
Quant Risk Analyst Just in!,"Must have exceptional knowledge of finance and statistical/ analytical modeling languages including SAS, Matlab, R or S+"
AEM Admin (Full-Time Opportunity),AEM Admin
JD Edwards Functional Analyst,"JD Edwards Distribution & JD Edwards Financials (GL, A/P, A/R)"
Immediate opening for DFT Engineer - San Diego,"DFT,ATPG,ATE"
Windows System Administrator,"Windows Server, MCSE/MCSA Preferred"
Sr Java Developer - 12061,Core java server side programming experience
OEM Sales Engineer (Exp in Defense /Aerospace markets),"Defense ,Aerospace markets,OEM electrical ,electronic power product selling"
Java Developer (spring),"spring MVC, Object Oriented Analysis, Object Oriented Design Patterns, Object Oriented Methodologies, software development"
COMMODITY MANAGER to $70's Area - Immediate Brand New Position,"BS-Procurement, SCM, Eng, Ops, or BBA degree.Procure Direct, Indirect, Raw Material, Cap-Ex, MRO; SAP/ERP; 5 yrs Purchasing / SCM, Logistics, Engineering; CPM/CPIM/CSCP a Plus; New position!"
Business Analyst,Java Script & JSON
Project Manager,"project management, developing budgets, process improvement, organizational skills"
Master Data management program manager (Only Locals),"PM, MDM, informatica, ETL"
Site Reliability Engineer,"Site Reliability Engineer, Major Incident Management, Data Center, Linux, RDBMS (MS SQL), NoSQL, TCP/IP, load balancing, Powershell, Python, Ruby, Perl"
Technical Recruiter,Technical Recruiter Monster Dice
Senior Full Stack Application Developer,"Fullstack, C#, .Net, Webservices"
Storage Engineer / Locals,"NAS/SAN Arrays (NetApp, HDS), HDS, Netapp, Windows, Linux and Unix"
Security Engineer,PCI-DSS/Security/ISO 27001/Cloud
JAVA / Spring Developer,"JAVA, Spring, Hibernate, RESTful, AWS"
Financial Services Marketing Executive,"Financial Services, Marketing, CRM Solutions, C-Suite"
Software Solutions Engineer,Java and Linux
Data Quality / Data Governance Lead,Data Governance Lead
Sr.Wireless Network Engineer - 12502,"Cisco Nexus, PAN, LAN, WAN"
"Silicon Design Manager in Santa Clara, CA","embedded, ARM, FPGA"
Technical Writer,Technical Writer
Physician Assistant or Registered Nurse Practitioner -112177,"Current RNP or PA license in the state of California, DEA CERTIFICATION, GYN Experience, Proficiency with Computers (EMR)"
Automated Tester (Selenium),"Selenium, Test, Agile"
Java Developer-CompTIA Security + certification required,java j2ee Oracle ADF soa java bean development oracle bpel pl/sql ant business intelligence BIP toad stig unix remote telecommute security +
Commercial Buildings Software Developer,"Agile, Analysis, Developer, Development, HTML, HTTP, JavaScript, Laboratory, MongoDB, PostgreSQL, Project, Ruby, Security, Testing"
salesforce Developer,"salesforce, Apex, CRM"
Senior Applications Programmer,C#/ASP.NET/File Net IBM/.Net
manual Testing,"Microsoft plug-in tools, such as Selenium, SpecFlow"
"Product Manager, Applications and Security - 12344","Product development. MRD, BRD, quality assurance, SDLC, Agile development, networking, network security, firewalls, TCP/IP networking, web application firewalls, IPS/IDS sensors, remote access (IPsec,"
Quality Control Supervisor - Med Device Instruments,Staff supervison; med device instruments; operation of test and inspection equipment
Business Analyst (Auto Finance Domain),"Business Analyst,Auto Finance"
Windows Desktop Engineer,"Windows, GPO, CM12"
Business Analyst with Charles River/CRD Implementation experience,"Charles River Developer Investment Management System, SQL"
Senior Hardware Engineer,"PCB, EMI"
Network/ Firewall Specialist,"Extensive experience in Cisco, routing, switching, wireless and security product suites needed. Any certifications including CCIE desired"
"Siebel Admin Consultant the need in Naperville IL, USA?",Sibel
Senior Network Design Engineer,"Must have strong knowledge of MLPS IP VPN, Route Target import/ export, BGP, RIPv2, OSPF, EIGRP, HSRP, IP Address, NAT, Multicast: PIM, IGMP, QoS, Ethernet technology, SIP/VOIP and many more technolog"
Security Engineer,"Proxy, Security, Network, encryption, tokenization, cryptography"
"Node Js Developer the need in Sunnyvale, CA, US?","Node.js,"
.Net BigData Scala Developer,".Net, C#, Full Stack, Scala, Big Data, Hadoop"
Software Developer,C#/.NET/Web Application/Developer/JSON/Java Script
Quality Assurance Test Engineer/ Specialist,"Solid knowledge of testing methodologies, utilities and various tools with a background in any of the following desired: Java, Python, Selenium, Fitnesse, Cucumber, Git and Continuous Delivery."
QA Tester with JAVA Linux (w2 only),"QA, Java, Linux, FIX"
Software Developer (Wordpress),"WCMS, HTML5, CSS, JavaScript, PHP, WordPress, MySQL"
Senior Security Engineer,PCI/Compliance/DSS/Security
Senior Java Software Engineer (Digital Policy Management),Java and Javascript and Linux
UI/UX Designer,UI UX Design
Senior Network Analyst,"Building and managing L2/L3 networks (Cisco, Juniper, etc); Routing protocols (OSPF, EIGRP, BGP); Network security solutions (IPSec VPN, firewalls, IPS/IDS, PKI infrastructure);"
Business Analyst,Java Script & JSON
Senior Support Engineer All New Opportunity!,"MCSA or any certifications in Networks, Security, Virtualization, Cloud, SQL desired"
HFM DEVELOPER,HFM and FDM
"Senior Systems Engineer (Linux), Internet Services Tech","Windows, Linux, Linux Kernel, Linux Full Stack, DevOps"
MySQL Developer,MYSQL
Contract Compliance Analyst,Prior knowledge working with DCAA (Defense Contract Audit Agency)
SAP Ariba Consultant,"SAP Ariba Consultant, SAP Ariba Consulting, SAP Ariba Implementation, Senior SAP Ariba Consultant"
MicroStrategy Developers HERE IN McLean VA (Face to Face required),"MicroStrategy, Star Schema and Type 2 dimensions, dashboards, SLA, SDK, Agile, Scrum, SQL, SAS, Hyperion, Essbase, OBIEE"
Systems Architect - 12509,Systems Architect (working in the Entertainment & Media industry)
"JAMF Casper Consultant in Sunnyvale, CA",casper
Tech Architect (Server-Virtualization & OpenStack),"OpenStack, Server Virtualization, HEAT, TOSCA"
Security Engineer,PCI-DSS/Security/ISO 27001/Cloud
CA Service Desk Administrator,ca service desk
Solutions Architect,"Java, JSP, Java Beans, JavaScript"
Product Manager - Payments (retail / eCommerce) SF or PA c2c ok,"Product Management, Payments, Project Management, Leadership, E-commerce, ecommerce, retail, omni-channel"
Java Architect-encino,Java
Business / Management Consultant with Q2C & P2P experience,"Q2C, P2P"
Business Readiness/Change Management Project Manager,Business Readiness Project Manager
Senior DevOps and Server Engineer,"Linux, Ruby, Shell, AWS, MySQL, DevOps"
Sr. IBM InfoSphere MDM Developer,"Netezza, Informatica, SAP, Oracle, SOA, InfoSphere ESB"
Lead Software Engineer - up to $150K,"Team Management, Software Engineering, RDBMS, Git, Unix, Python, Continuous Delivery, Test Automatiohn"
Senior Web Application Engineer,"SPA, JavaScript, Angular, React, D3, HTML5"
Drupal Developer,"Drupal, PHP, Organic Groups, Panels, Panology, Bootstrap"
Web Production Designer,"html,content management system ,Adobe CQ, css,Photoshop, Illustrator,, Dreamweaver"
Business Systems Analyst,"Health Rules, COSMOS, UNET, iCES, CCMS, CareManager, MCG CareGuidelines, ClearCoverage, ReviewManager, Symmetry, Oracle Business Intelligence, John Hopkins ACG"
E-Commerce Engineer,"Magento, PHP, MongoDB, MySQL"
Systems Engineer,"Bachelor's Degree with 4+ years of real-world experience implementing/working with enterprise IT infrastructures and virtualization platforms. Citrix, VMware virtualization technologies is required."
Jr. IOS Developer,"IOS, Xcode, Objective C"
Technical Project Manager,"Project Management, Infrastructure, Waterfall OR Agile, Security"
Junior Java Developer-Need Chinese Speaking-Sponsor H1B for OPT student,"MS SQL BI, H1B, OPT, Chinese"
Selenium QA Automation Scripting,"""Selenium testing"" SQL ""mobile testing"" Javascript PHP"
Project Adminstrator,"Public Policy , Public Administration , data analysis , statistical sampling , administration , technical writing"
Sr.Java Developer with Groovy for Middleware/Backend Development,"Java Developer, Groovy/Grails, Web Services, API,ActiveMQ, Financial Services/Asset Management Sr.Java Developer with Groovy for Middleware/Backend Development"
Financial Systems Analyst,"GAAP SOX IT Accounting UAT QA General Ledger SOW ""Financial Systems Analyst"" accounting"
QA Tester with JAVA Linux (w2 only),"QA, Java, Linux, FIX"
Hardware Test Engineer,"Electro Mechanical Designing and Troubleshooting, Python"
c# sql application analyst,"Microsoft SQL, SSRS, SSIS, C++,C"
"IAM Technical Lead (permanent position, locals only)",Iam security CISSP
PMO Lead/Senior Project Manager,The PMO Lead will set up a business PMO structure and reporting for an average of 10-12 projects across multiple project teams. The PMO lead will establish executive dashboard reporting and roll up r
SAP PPPI AND SAP MMWM,"SAP PP - PI, SAP MM - WM"
Systems Support Analyst,"support, java, unix, Investment banking, analyst"
Business Systems Analyst,"syatem analysis,communicatio skills"
Technical Project Manager,"Must have a background in financial services with an expertise in Agile methodology, providing full project life cycle for enterprise level solutions and managing multiple vendors in projects."
Senior Developer,"DB2,JAVA,C#,HTML5,RATIONAL AND JUNIT AND MVC,SPRING,APACHE"
Financial Services Marketing Executive,"Financial Services, Marketing, CRM Solutions, C-Suite"
Mortage Underwriter,Mortgage Underwriter
Front End Developer,"HTML, CSS, JavaScript"
Data Architect,"Data Engineering; Cloud computing; Amazon Web services; Google Cloud; Big Data & Hadoop; Database Architecture; Data warehouse design, ETL, Master Data Mgmt"
Perm Sr Project Manager with Digital Strategies,"PMP, Digital Strategies, Asset Management"
Agile Project manager,"Agile, Story Mapping, Management"
Lead IOS Developer (9+ year),"swift,GIT"
Sr Mobile/Web Business Systems Analyst,"business analyst, systems, use case, requirement, web"
Product Manager - Payments (retail / eCommerce) SF or PA c2c ok,"Product Management, Payments, Project Management, Leadership, E-commerce, ecommerce, retail, omni-channel"
Pharmacy Investigations Specialist -112184,Investigates drug divergences and drug losses. Prefers 5 or more years of investigative experience. -Needs prior experience with conducting investigations and writing investigative case reports.
Senior Data Analyst,"Data Analyst, Business Data Analyst, report, finance, cybersecurity, sql queries, Excel, Access,"
Software Engineer,"Top Secret clearance required, experience with Linux, C/C++, SQL, Python, and GUI design, unit/regression testing, revision control systems, defensive coding practices."
1.DevOps (Utah Local) 2. Java Architect + Kafka/Elastic search/Splunk,1. DevOps Engineer (Must be local to UT- And Strong in Jenkins) // 2. Java Architect + Kafka/Storm/Elastic search/Splunk
Senior Information Security Engineer,Security/Cloud/PCI/ISO
Network Security Manager (CISSP/ CCIE),"Palo Alto Firewall, IPS/IDS, CISSP, CCIE, SIEM & SOC, OWASP, CWE, SANS, Network, Cisco ASE"
Enterprise Application Developer,"SQL, Visual Studio Online, Web API, Azure, C#, MVVM"
ETL Architect,"Informatica, ETL, SAS"
Linux System Engineer,Linux Administration
Mobile Applications Developer - Android,Mobile Applications Developer - Android
SQL Developer/Data Migration Specialist - Long term contract!,"SQL queries, stored procedures, triggers, migration, requirements"
Java Developer / Programmer,"Java Development, Cassandra, NoSQL, J2EE, Spring, hibernate, Data Structures and Algorithm, Restful API"
Senior Software Engineer (Mainframe - Legacy Project Support),"Mainframe and ""Software Developer"" and PL1 and DOS"
business systems analyst-santa barbara,MediCal
Mortgage Processor,Mortgage Processing
Senior Job Developer ( 9721593),"Java 8, ReST, Micro services, SQL,SDLC, E-Commerce"
Java Developer / Programmer,"Java Development, Cassandra, NoSQL, J2EE, Spring, hibernate, Data Structures and Algorithm, Restful API"
Front End UI Developer,"Bootsrap, CSS3, HTML5, UI, DOM, JavaScript, ASP.net"
Sr.Test Engineer - QA Analyst,"System Test, Integration Test, Test Scripts, Test Plan, Test Case"
Salesforce Developer,"Apex , VisualForce ,SFDC 501"
Healthcare Project Manager,"Healthcare, Project Manager, Business Process Redesign"
"Intrusion & Malware Detection Security Analyst -McAfee, Splunk, Linux","Intrusion & Malware Detection Security Analyst -McAfee, Splunk, Linux"
Sr Network Engineer,"MS Active Directory, Email, Web Proxy, layer 3 and 7 firewall technology, MS Active Directory, TCP/IP, DNS/DHCP, Cisco"
Sr. SQA Analyst,"Automation, Selenium, GridTestNG, Junit, Nunit, Excel and Apache POI"
Technical Writer,"Technical Writing, Authoring Tools, SGML, XML, DITA, InDesign"
Cassandra Developer,"Cassandra, Oracle, Solr, Java"
Sr Mobile/Web Business Systems Analyst,"business analyst, systems, use case, requirement, web"
Sr. IBM InfoSphere MDM Developer,"Netezza, Informatica, SAP, Oracle, SOA, InfoSphere ESB"
Database Administrator Just in!,"Experience with Windows, Linux and Shell Scripting needed. Solid communication skills a must"
Android Developer,"TDD, White Box, Black Box, Android, Unit Testing"
C#/.NET Programmer,"C#, .NET, Automated, Javascript, Angular, Bootstrap, Knockout, jQuery, Jasmine, QUnit, TestSwarm, iOS, Android"
Senior QA Analyst - e-commerce,"MS SQL Server, HTML, XML, JIRA, Grasshopper, SOAP, E-commerce, Retail, shopping cart, UI"
Systems Administrator,"LAN/WAN,storage,Citrix, Exchange,Windows servers,Backup,Virtualization and Security"
Desktop Support/Network Administration,Network Administration OR Infrastructure OR Macola ERP OR Windows OR Cisco OR ERP OR VPS OR Active Directory OR Desktop Support OR implementation OR Sys Pro OR desktop support
Java J2EE Developer,"Java, J2EE, Spring, Struts, Jquery/ Jquery Mobile,"
PeopleSoft Financials Functional Consultant with Public Sector,"PeopleSoft 9.2 or higher, Public Sector, PeopleSoft Financials modules including but not limited to: GL/KK, AR, Billing and Projects, PeopleSoft Financials post-production"
Senior UI Developer,"HTML, HTML5, XML, JSON, CSS/CSS3, JavaScript, JQuery, AngularJS, LESS, Sling, OSGi, JCR/Jackrabbit, CRX"
Full Stack Java Engineer/Developer,"Java,J2EE,spring,MVC,hibernate,Anjular.js,webservices"
Technical Writer_CO,Technical Writer
Client Support,Excellent customer service; interested in learning new software
Java Technical Architect ALL NEW!,strong Object Oriented skills combined with technical leadership abilities. Solid expertise in various enterprise server side technologies needed as well as strong SQL skills.Knowledge of Agile/ Scrum
Enterprise Monitoring Engineer,"Enterprise Management/Monitoring solutions, WMI, PowerShell, VMWare vSphere ESXi, EMC VNX Arrays"
Sr.Java Developer with Groovy for Middleware/Backend Development,"Java Developer, Groovy/Grails, Web Services, API,ActiveMQ, Financial Services/Asset Management Sr.Java Developer with Groovy for Middleware/Backend Development"
Contract Compliance Analyst,Prior knowledge working with DCAA (Defense Contract Audit Agency)
Oracle Exadata Consultant,"Oracle Exadata , Exalogic"
Java Spring Developer,"Java, Spring, RabbitMQ, Servlet, JSPs, Tomcat, JavaScript, MongoDB, POstgreSQL PostGIS Restful Spring Framework,Spring MVC, Spring RESTful Web Services,"
Sr. Java Developer,Java; jQuery; HTML; MySQL; AJAX; JavaScript
Sr. Datacenter Engineer,"Cisco/Nexus,data center, CCNP,ISSU,6500 to 7k migration,F5 experience (LTM/GTM)."
BA Manager / Manager of Business Analysts,Manager Business Analysis Retail ecommerce digital
Big Data Engineer/Scientist,"DNN frameworks, Stats/machine learning algorithms, Artificial Intelligence, Deep Learning, Neural Network, GBM, XGBoost, LibFM, Scikit-learn, Lasagne, Theano, TensorFlow, Caffe, Torch7, MatLab"
Software Architect,"Architecture, Saas, B2B, cloud"
Mid-Level Python Developer,"Python, Django, Flask"
Oracle Apps Developer - With CRM exp,Need someone with hands-on PL/SQL Development in any Oracle Apps Functional area.
.Net Developer/ CRM Analyst Just in!,Must have solid SQL skills with the ability to understand ER diagrams and write queries. Experience with ant integration tools such as SSIS or Informatica helpful
Network Administrator,"Cisco, Network, Firewall, VPN, Switches"
Android Developer with Roku experience in Dallas or Atlanta,Android and roku
Java UI Developer,"HTML5, CSS3, JQuery, BackboneJS, Bootstrap or RequireJS"
Senior Data Analyst,"Data Analyst, Business Data Analyst, report, finance, cybersecurity, sql queries, Excel, Access,"
PeopleSoft FSCM Technical Consultant (Purchase),PeopleSoft FSCM Technical Consultant (Purchase)
UI / UX Designer,"McClellan, CA"
JDE Developer,JDE
Business Development Executive,"Business development, Account management, IT Staffing / Services, Customer Relationship"
Big Data Engineer,Exp with Hadoop/ Big Data/ machine learning/ETL and SQL is a must
Cloud Infrastructure Engineer,"Cloud Infrastructure, Puppet, NoSQL, Hypervisor, Cloud Stack, Linux, Openstack"
VBA Developer,"5+ years of experience with VBA ( VBA is required not VB6), Excel and SQL"
"SAP TM at Minneapolis, MN","SAP Transportation Management,Rail standard configuration in SAP TM version 9.3,"
Scrum Master- Delivery Manager,"agile, scrum master, project manager, delivery manager, reporting, budgeting, relationship management, technology, scrum methodology, project planning,"
Functional SD Consultant,"Functional SD Consultant, Purchase Orders, Deliveries & Outputs, A/P Billing & Invoices, Inventory , Functional, WorkSoft"
Embedded Software Engineer - San Diego,"Linux, RTOs,Device driver"
SAP ARIBA with MM FUNCTIONAL ANALYST,SAP ARIBA with MM FUNCTIONAL ANALYST
UI Developer/Engineer,"HTML, XHTML, CSS, CSS3, HTML5"
Front End Developer,Front End
Senior Mobile Developer/Technical Lead,Senior Mobile Developer/Technical Lead
Field Technician,"Network, Router, Switch, Fiber, Optic, Circuit, Cable, Service, Testing, Troubleshooting, Termination, Extensions,"
Network Engineer,"Cisco, Solarwinds, and Aruba"
PeopleSoft Test Framework,PeopleSoft Test Framework
Android Developer,ANDROID
C# .NET Software Developer,"Visual Studio, SQL programming, MPLS / WAN, Unix-like operating systems, WCF, Informix 4G, integrating with asterisk, Unix C"
Validation Engineer III (NCI),"Selenium, Cucumber, Protractor, Agile, Continuous Integration, Quality Assurance, QA, HPQC, Automated Testing, Web Services, SQL, JAVA, JavaScript, LoadRunner"
Database Administrator,"ITIL Foundation Certificate, PMP Cert or Equivalent; DBMS Environment support on Windows, Linux, AIX, ESX and iSeries; Oracle, SQL Server, DB2 and MySQL database design/ maintenance"
Salesforce Lead Architect,"Salesforce Architect, CRM, Service Cloud"
Data Architect,"Relational, Analytical Database Design and Development, Erwin 9, SQL, Health Exchange, Medicaid"
Physician Assistant or Registered Nurse Practitioner -112177,"Current RNP or PA license in the state of California, DEA CERTIFICATION, GYN Experience, Proficiency with Computers (EMR)"
ERP Project Manager,Project Manager
QA Tester with JAVA Linux (w2 only),"QA, Java, Linux, FIX"
Jr. IT Systems Engineer,install software
W2 - Need UI Developer for Morgan Stanley at NYC,"Core Java, C++, Spring, Hibernate, MQ, JUnit, JMS"
Contracts Analyst/Procurement,"contract review, contract negotiation, information technology"
Network Specialist/ Team Leader,"Strong experience with Windows Server 2008/20012, VMWare, Shell Scripting, VPN's, Firewalls, SIEM, Routing, Wireless , MS Exchange Servers and more. Unix knowledge a plus."
Application/ Production Support Specialist,"Must have strong communication, analytical and debugging skills. Experience with SQL, Amazon AWS, Linux, Scripting and Splunk a plus."
Java Developer/ Architect/ Engineer,"Java, Tibco, MQ, Tomcat, Weblogic, JBoss, Websphere. Outstanding communication skills"
.Net/C# Developer,.NET/HTML/CSS
C/C++ Developer,C/C++ developer with Finance and Trading
Technical Specialist/ Reporting/ Team Leader,"Must have at least 2 years in C#/ .Net development, 3 plus years of SQL database experience and SQL coding, 2 plus years performing Business Intelligence functions/ duties and any experience with repo"
Web Developer New Position!,"Solid knowledge of N-tier architecture, UI, business layers and data layers desired,Any experience working with Adobe Photoshop, responsive web design, Webpage loading performance techniques"
SFDC Veeva Admin,"APEX and Visual Force ,SFDC,CRM & Vault Configuration"
JIRA Administrator/Developer,"JIRA plugins/Atlassian Atlassian SDK Linux, J2EE applications, databases/SQL, web applications, SOA/web services and mobile platforms JIRA Core or JIRA Software (Formerly JIRA Agile), Fisheye/Cruc"
Genesys Consultant,Please refer to Job Description
"Need : Deep Learning Specialist, Santa Clara or Sunnyvale CA (ONLY LO","Deep Learning Specialist Spark, Python, Theano or Tensorflow"
Mongo DB DBA,"MongoDB 3.2, MongoDB cluster, MongoDB Ops, Oracle/MySql"
SAP Ariba Consultant,"SAP Ariba Consultant, SAP Ariba Consulting, SAP Ariba Implementation, Senior SAP Ariba Consultant"
Technical Lead - C# and Dot Net,Technical Lead - C# and Dot Net
Front End Web Developer (Wordpress),"HTML, CSS, JavaScript, PHP, WordPress, MySQL, Bootstrap"
Sr Manager Analytics/Marketing Research,3+ years working experience in quantitative analysis. A gamer who understand the industry.
Cyber Security Analyst,SOC and Information Security and SIEM and CCNA
Sr. Front End Developer,HTML/CSS/AJAX./.NET/SDLC
Salesforce Lead Developer,"Analysis, API, Database, Data Modeling, Developer, Excel, Management, Modeling, Sales, SalesForce, SOAP"
Devops Enginee with AWS,puppet cloud scripting - F2F Needed
AWS DevOps Engineer with Strong Software Dev Skills (Remote),"DevOps, AWS, Hudson, Jenkins, CruiseControl, Chef, Puppet, Salt, Ansible, Python, Ruby, Java, C#, CloudTrail, CloudWatch, CloudFormation, OpsWorks, IAM, EC2, Route 53, S3, RDS, SES, VPC,"
Junior Technology Project Manager,"Solid technical skills in Word, PowerPoint, Outlook, Excel needed. Any knowledge of MS Project and VBA a plus. Strong communication and writing skills need."
Senior Linux Administrator,"Red Hat, Ansible, CentOS, Linux"
Database Administrator Just in!,"Experience with Windows, Linux and Shell Scripting needed. Solid communication skills a must"
JDE / E-1 / Distribution,JD Edwards / E- One 9.2 / Distribution /
Microsoft CRM and AR module Pre-sales consultant,Microsoft CRM Dynamics Pre- Sales AR Gran Plains
